Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
vtt_response_open,dialogs,Dialog,,,Request transport to visited trader,,Transport zu besuchtem Händler anfordern,Solicitar transporte a un vendedor visitado,Demander un transport vers un marchand visité,Richiedi il trasporto a un negoziante visitato,訪問済みトレーダーへの輸送を依頼,방문한 상인에게 이동 요청,Poproś o transport do odwiedzonego handlarza,Solicitar transporte a um comerciante visitado,Запросить перевозку к посещённому торговцу,Ziyaret edilen tüccara nakil iste,请求前往已访问的商人,請求前往已造訪的商人
vtt_open_cost_suffix,dialogs,Dialog,,,,,,,,,,,,,,,,
vtt_open_cost_suffix_minimum,dialogs,Dialog,,,,,,,,,,,,,,,,
vtt_statement_destinations,dialogs,Dialog,,,Choose a trader destination.,,Wähle ein Händlerziel.,Elige un vendedor de destino.,Choisissez un marchand de destination.,Scegli un negoziante di destinazione.,移動先のトレーダーを選択してください。,이동할 상인을 선택하세요.,Wybierz handlarza docelowego.,Escolha um comerciante de destino.,Выберите торговца для перемещения.,Bir tüccar hedefi seç.,请选择目标商人。,請選擇目標商人。
vtt_preparing_travel,dialogs,Tooltip,,,Preparing travel...,,Reise wird vorbereitet...,Preparando el viaje...,Préparation du voyage...,Preparazione del viaggio...,移動の準備中...,이동 준비 중...,Przygotowywanie podróży...,Preparando a viagem...,Подготовка к поездке...,Yolculuk hazırlanıyor...,正在准备旅行...,正在準備旅行...
vtt_preparing_travel_to,dialogs,Tooltip,,,Preparing travel to {0}...,,Reise nach {0} wird vorbereitet...,Preparando el viaje a {0}...,Préparation du voyage vers {0}...,Preparazione del viaggio verso {0}...,{0}への移動を準備中...,{0}(으)로 이동 준비 중...,Przygotowywanie podróży do {0}...,Preparando a viagem para {0}...,Подготовка к поездке к {0}...,{0} için yolculuk hazırlanıyor...,正在准备前往 {0}...,正在準備前往 {0}...
vtt_destination_not_ready,dialogs,Tooltip,,,Destination is not ready yet. Try again later.,,Das Ziel ist noch nicht bereit. Versuche es später erneut.,El destino aún no está listo. Inténtalo más tarde.,La destination n'est pas encore prête. Réessayez plus tard.,La destinazione non è ancora pronta. Riprova più tardi.,移動先の準備が完了していません。少し待ってから再試行してください。,목적지가 아직 준비되지 않았습니다. 잠시 후 다시 시도하세요.,Cel nie jest jeszcze gotowy. Spróbuj później.,O destino ainda não está pronto. Tente novamente mais tarde.,Пункт назначения ещё не готов. Попробуйте позже.,Hedef henüz hazır değil. Daha sonra tekrar dene.,目的地尚未准备好，请稍后再试。,目的地尚未準備好，請稍後再試。
vtt_travel_cooldown,dialogs,Tooltip,,,You can travel again in {0}s.,,Du kannst in {0}s wieder reisen.,Podrás viajar de nuevo en {0}s.,Vous pourrez voyager à nouveau dans {0}s.,Potrai viaggiare di nuovo tra {0}s.,次の移動まであと{0}秒です。,{0}초 후에 다시 이동할 수 있습니다.,Możesz podróżować ponownie za {0}s.,Você poderá viajar novamente em {0}s.,Вы сможете отправиться снова через {0} с.,{0} sn sonra tekrar yolculuk yapabilirsin.,{0}秒后可再次传送。,{0}秒後可再次傳送。
vtt_transport_busy,dialogs,Tooltip,,,Transport is busy right now. Try again in a moment.,,Der Transport ist gerade ausgelastet. Versuche es gleich noch einmal.,El transporte está ocupado ahora mismo. Inténtalo de nuevo en un momento.,Le transport est occupé pour le moment. Réessayez dans un instant.,Il trasporto è occupato al momento. Riprova tra poco.,輸送が混み合っています。少し待ってから再試行してください。,지금은 이동이 혼잡합니다. 잠시 후 다시 시도하세요.,Transport jest teraz zajęty. Spróbuj ponownie za chwilę.,O transporte está ocupado agora. Tente novamente em instantes.,Перевозка сейчас перегружена. Повторите попытку через мгновение.,Ulaşım şu anda meşgul. Birazdan tekrar dene.,传送系统正忙，请稍后再试。,傳送系統正忙，請稍後再試。
vtt_transport_queued,dialogs,Tooltip,,,Transport is busy right now. You are in line; your trip will start automatically.,,Der Transport ist gerade ausgelastet. Du bist vorgemerkt; deine Reise startet automatisch.,El transporte está ocupado ahora mismo. Estás en la cola; tu viaje comenzará automáticamente.,Le transport est occupé pour le moment. Vous êtes dans la file ; votre voyage commencera automatiquement.,Il trasporto è occupato al momento. Sei in coda; il tuo viaggio inizierà automaticamente.,輸送が混み合っています。順番待ちに追加されました。まもなく自動で出発します。,지금은 이동이 혼잡합니다. 대기열에 등록되었습니다. 곧 자동으로 출발합니다.,Transport jest teraz zajęty. Jesteś w kolejce; podróż rozpocznie się automatycznie.,O transporte está ocupado agora. Você está na fila; sua viagem começará automaticamente.,Перевозка сейчас перегружена. Вы в очереди; поездка начнётся автоматически.,Ulaşım şu anda meşgul. Sıradasın; yolculuğun otomatik olarak başlayacak.,传送系统正忙。您已加入队列，行程将自动开始。,傳送系統正忙。您已加入佇列，行程將自動開始。
vtt_transport_overlay,dialogs,Tooltip,,,Traveling...,,Unterwegs...,Viajando...,Voyage en cours...,In viaggio...,移動中...,이동 중...,W podróży...,Viajando...,В пути...,Yolculuk sürüyor...,旅行中...,旅行中...
vtt_transport_overlay_hint,dialogs,Tooltip,,,Please wait while the trader transport finishes.,,"Bitte warte, bis der Händlertransport abgeschlossen ist.",Espera a que termine el transporte del vendedor.,Veuillez patienter jusqu'à la fin du transport du marchand.,Attendi il completamento del trasporto del negoziante.,トレーダーの送迎が完了するまでお待ちください。,상인 이동이 끝날 때까지 기다려 주세요.,Poczekaj na zakończenie transportu handlarza.,Aguarde o transporte do comerciante terminar.,"Подождите, пока перевозка торговца завершится.",Tüccar nakli tamamlanana kadar bekle.,请等待商人运输完成。,請等待商人運輸完成。
vtt_transport_departure,dialogs,Tooltip,,,Transporting to {0}...,,Transport nach {0}...,Transportando a {0}...,Transport vers {0}...,Trasporto verso {0}...,{0}へ輸送中...,{0}(으)로 이동 중...,Transport do {0}...,Transportando para {0}...,Перевозка к {0}...,{0} konumuna taşınıyorsunuz...,正在传送至 {0}...,正在傳送至 {0}...
